Gene,Gene name,tau,max_nTPM
ENSG00000184502,GAST,0.9998296083204249,9038.0
ENSG00000206047,DEFA1,0.9998275105683816,59493.5
ENSG00000129221,AIPL1,0.9998271190814089,775.1
ENSG00000255974,CYP2A6,0.9998262484249618,1507.9
ENSG00000198083,KRTAP9-9,0.9998245614035087,22.8
ENSG00000127928,GNGT1,0.9998238936544908,1760.3
ENSG00000204880,KRTAP4-8,0.9998230088495574,22.6
ENSG00000204669,C9orf57,0.9998230088495574,11.3
ENSG00000204873,KRTAP9-3,0.9998222222222222,45.0
ENSG00000212722,KRTAP4-9,0.9998206278026907,44.6
ENSG00000155087,ODF1,0.9998198198198197,333.0
ENSG00000163810,TGM4,0.999815031913508,767.7
ENSG00000116785,CFHR3,0.9998146128680478,366.8
ENSG00000267467,APOC4,0.9998088410991636,585.9
ENSG00000109181,UGT2B10,0.9998078682525161,218.6
ENSG00000106128,GHRHR,0.9998073022312375,197.2
ENSG00000197891,SLC22A12,0.9998069498069497,103.6
ENSG00000163440,PDCL2,0.9998058252427185,61.8
ENSG00000021852,C8B,0.999805793285056,607.6
ENSG00000187066,TMEM262,0.9998048780487805,20.5
ENSG00000159650,UROC1,0.9998046181172292,112.6
ENSG00000244537,KRTAP4-2,0.9998039215686275,20.4
ENSG00000265203,RBP3,0.9998015873015873,504.0
ENSG00000185303,SFTPA2,0.9998014181611048,10182.2
ENSG00000221837,KRTAP10-9,0.9998,10.0
ENSG00000164893,SLC7A13,0.9997959183673469,39.2
ENSG00000255251,PRR23D1,0.9997953382603753,175.9
ENSG00000170748,RBMXL2,0.9997952218430035,29.3
ENSG00000162078,ZG16B,0.9997946188351912,80766.9
ENSG00000166118,SPATA19,0.999792663476874,125.4
ENSG00000163631,ALB,0.9997908462360684,198523.8
ENSG00000109061,MYH1,0.9997898300494279,7384.5
ENSG00000222028,PSMB11,0.9997894736842105,28.5
ENSG00000231924,PSG1,0.9997881010594947,245.4
ENSG00000203989,RHOXF2B,0.9997864768683274,28.1
ENSG00000115138,POMC,0.9997847467666452,30726.6
ENSG00000241595,KRTAP9-4,0.9997843665768193,37.1
ENSG00000141086,CTRL,0.9997808335696057,7054.0
ENSG00000110169,HPX,0.9997802820320878,4942.7
ENSG00000104826,LHB,0.999778945550539,4053.3
ENSG00000109047,RCVRN,0.9997772104896728,430.9
ENSG00000244234,GMCL2,0.9997765363128491,17.9
