Gene,Gene name,tau,max_nTPM
ENSG00000104361,NIPAL2,0.7598003992015968,50.1
ENSG00000109083,IFT20,0.7597262773722626,109.6
ENSG00000064652,SNX24,0.7597077244258873,47.9
ENSG00000158321,AUTS2,0.759691629955947,45.4
ENSG00000170088,TMEM192,0.759688888888889,45.0
ENSG00000198625,MDM4,0.7596868884540119,51.1
ENSG00000272325,NUDT3,0.7596374622356495,66.2
ENSG00000138111,MFSD13A,0.7596363636363636,16.5
ENSG00000102910,LONP2,0.759580764488286,81.1
ENSG00000166341,DCHS1,0.7595539033457248,26.9
ENSG00000131435,PDLIM4,0.7595353535353536,99.0
ENSG00000112655,PTK7,0.7594514285714286,87.5
ENSG00000141428,C18orf21,0.7594395280235989,67.8
ENSG00000213638,ADAT3,0.7593984962406016,13.3
ENSG00000141030,COPS3,0.759383399209486,126.5
ENSG00000203879,GDI1,0.7593701415188359,501.7
ENSG00000141854,MISP3,0.7593370165745857,18.1
ENSG00000111602,TIMELESS,0.7593269230769231,20.8
ENSG00000072506,HSD17B10,0.7592940199335548,240.8
ENSG00000196372,ASB13,0.7592700729927009,41.1
ENSG00000152661,GJA1,0.7592685589519651,366.4
ENSG00000125449,ARMC7,0.7592332268370607,31.3
ENSG00000128833,MYO5C,0.7592248062015504,25.8
ENSG00000178726,THBD,0.759164265129683,69.4
ENSG00000157514,TSC22D3,0.7591164423639557,1025.4
ENSG00000124104,SNX21,0.7590884718498659,37.3
ENSG00000138032,PPM1B,0.7590375203915172,122.6
ENSG00000050820,BCAR1,0.7590318772136954,84.7
ENSG00000139083,ETV6,0.7590155440414509,38.6
ENSG00000147124,ZNF41,0.7589411764705882,17.0
ENSG00000103035,PSMD7,0.7588687956906504,259.9
ENSG00000095319,NUP188,0.7588657844990547,52.9
ENSG00000168062,BATF2,0.758796992481203,13.3
ENSG00000175416,CLTB,0.7586974110032361,494.4
ENSG00000065989,PDE4A,0.7586478873239436,35.5
ENSG00000269955,FMC1-LUC7L2,0.7584386617100373,53.8
ENSG00000123200,ZC3H13,0.7583695652173913,55.2
ENSG00000111684,LPCAT3,0.7583391003460208,115.6
ENSG00000112715,VEGFA,0.7583098591549295,255.6
ENSG00000171443,ZNF524,0.758305597579425,66.1
ENSG00000147113,DIPK2B,0.7582945736434108,38.7
ENSG00000137133,HINT2,0.758246712586099,159.7
ENSG00000156860,FBRS,0.7581705150976908,112.6
ENSG00000197978,GOLGA6L9,0.7581318681318681,18.2
ENSG00000204356,NELFE,0.7580832782551223,151.3
ENSG00000008283,CYB561,0.7580623420387531,118.7
ENSG00000179041,RRS1,0.7580467091295117,47.1
ENSG00000165801,ARHGEF40,0.7580357142857145,44.8
ENSG00000178573,MAF,0.7580051150895141,78.2
ENSG00000162654,GBP4,0.7579375,32.0
ENSG00000159461,AMFR,0.7578870431893688,150.5
ENSG00000133321,PLAAT4,0.7578819810326659,189.8
ENSG00000132640,BTBD3,0.7578115501519759,65.8
ENSG00000106070,GRB10,0.7577277840269967,88.9
ENSG00000006062,MAP3K14,0.7575396825396825,25.2
ENSG00000120738,EGR1,0.7575123422929236,729.2
ENSG00000141425,RPRD1A,0.7574977000919962,108.7
ENSG00000168522,FNTA,0.7574326647564469,174.5
ENSG00000143995,MEIS1,0.757415458937198,82.8
ENSG00000155849,ELMO1,0.7573957446808511,117.5
ENSG00000073536,NLE1,0.7573568281938328,22.7
ENSG00000140905,GCSH,0.7573214285714286,134.4
ENSG00000159208,CIART,0.7573175542406312,50.7
ENSG00000115540,MOB4,0.7573026315789475,91.2
ENSG00000172296,SPTLC3,0.7572614107883817,24.1
ENSG00000124126,PREX1,0.7572177419354839,49.6
ENSG00000130508,PXDN,0.7572161172161173,54.6
ENSG00000132005,RFX1,0.7571153846153846,20.8
ENSG00000166750,SLFN5,0.7570603674540684,38.1
ENSG00000119689,DLST,0.7570105062082142,209.4
ENSG00000163041,H3-3A,0.7569918699186993,1918.8
ENSG00000173581,CCDC106,0.7569432314410482,68.7
ENSG00000177479,ARIH2,0.7569394261424017,94.1
ENSG00000106018,VIPR2,0.7568911917098444,19.3
ENSG00000198742,SMURF1,0.7568823529411765,34.0
ENSG00000158186,MRAS,0.7568430335097002,113.4
ENSG00000103222,ABCC1,0.7568211920529803,15.1
ENSG00000169992,NLGN2,0.7568101265822785,79.0
ENSG00000151779,NBAS,0.7567983367983366,48.1
ENSG00000167468,GPX4,0.7567304990757857,1352.5
ENSG00000153391,INO80C,0.7566782810685249,86.1
ENSG00000205220,PSMB10,0.7566104181951577,136.3
ENSG00000164294,GPX8,0.7566037735849058,37.1
ENSG00000165175,MID1IP1,0.7565177993527509,154.5
ENSG00000110871,COQ5,0.7565151515151516,92.4
ENSG00000121851,POLR3GL,0.7564909638554217,132.8
ENSG00000172465,TCEAL1,0.7564840457555689,166.1
ENSG00000165060,FXN,0.7564814814814815,43.2
ENSG00000256294,ZNF225,0.756470588235294,11.9
ENSG00000183762,KREMEN1,0.756467991169978,45.3
ENSG00000110328,GALNT18,0.7564344262295082,48.8
ENSG00000099250,NRP1,0.7563824701195219,125.5
ENSG00000143190,POU2F1,0.7563333333333334,12.0
ENSG00000184347,SLIT3,0.7563124999999998,64.0
ENSG00000113240,CLK4,0.7562616822429906,53.5
ENSG00000008130,NADK,0.7562293794186961,127.3
ENSG00000062822,POLD1,0.7561458333333334,19.2
ENSG00000053747,LAMA3,0.7561170212765959,37.6
ENSG00000109436,TBC1D9,0.7560612691466083,45.7
ENSG00000161981,SNRNP25,0.7560097323600972,123.3
ENSG00000135870,RC3H1,0.7559999999999999,18.5
ENSG00000143198,MGST3,0.7559933453486758,721.3
ENSG00000168264,IRF2BP2,0.7559838274932615,148.4
ENSG00000138095,LRPPRC,0.7559825327510917,45.8
ENSG00000088256,GNA11,0.7559420289855073,131.1
ENSG00000283809,ENSG00000283809,0.7558823529411766,13.6
ENSG00000131477,RAMP2,0.7558549783549783,184.8
ENSG00000142188,TMEM50B,0.7558133971291866,83.6
ENSG00000214706,IFRD2,0.7557769652650823,109.4
ENSG00000110060,PUS3,0.7557419354838708,31.0
ENSG00000105732,ZNF574,0.7557037037037039,27.0
ENSG00000149577,SIDT2,0.7556920256645279,109.1
ENSG00000108509,CAMTA2,0.755670731707317,65.6
ENSG00000137075,RNF38,0.7555864197530863,64.8
ENSG00000120913,PDLIM2,0.7555714285714287,224.0
ENSG00000187446,CHP1,0.7555028901734104,173.0
ENSG00000151718,WWC2,0.7554887218045111,26.6
ENSG00000184743,ATL3,0.7554858934169278,63.8
ENSG00000163378,EOGT,0.7554730983302413,53.9
ENSG00000185745,IFIT1,0.7554659949622166,39.7
ENSG00000052126,PLEKHA5,0.7554592720970539,57.7
ENSG00000100354,TNRC6B,0.7554347826086957,18.4
ENSG00000184205,TSPYL2,0.7553913808267371,341.1
ENSG00000116574,RHOU,0.7553134328358209,67.0
ENSG00000256087,ZNF432,0.7552422907488986,22.7
ENSG00000156711,MAPK13,0.7552297592997812,45.7
ENSG00000109919,MTCH2,0.7552037037037037,108.0
ENSG00000049883,PTCD2,0.7551937984496123,12.9
ENSG00000064545,TMEM161A,0.7551495016611295,30.1
ENSG00000129422,MTUS1,0.7551472471190779,156.2
ENSG00000085433,WDR47,0.755132530120482,41.5
ENSG00000100147,CCDC134,0.755126050420168,11.9
ENSG00000111859,NEDD9,0.7550956130483689,88.9
ENSG00000146433,TMEM181,0.7550863723608445,52.1
ENSG00000174718,RESF1,0.755,65.6
ENSG00000067221,STOML1,0.7549897330595482,48.7
ENSG00000139636,LMBR1L,0.754986807387863,37.9
ENSG00000011028,MRC2,0.7548344370860928,60.4
ENSG00000174775,HRAS,0.7548178137651821,123.5
ENSG00000169967,MAP3K2,0.7547987616099071,32.3
ENSG00000026950,BTN3A1,0.7547914032869785,79.1
ENSG00000121858,TNFSF10,0.754702868852459,195.2
ENSG00000131370,SH3BP5,0.7546584699453551,146.4
ENSG00000141252,VPS53,0.7545360824742268,19.4
ENSG00000140307,GTF2A2,0.7545129224652086,201.2
ENSG00000134294,SLC38A2,0.7544657152801949,287.3
ENSG00000156521,TYSND1,0.7544186046511626,12.9
ENSG00000154265,ABCA5,0.7544078947368419,30.4
ENSG00000145687,SSBP2,0.7544026548672566,90.4
ENSG00000146232,NFKBIE,0.7543880597014925,33.5
ENSG00000136280,CCM2,0.7543279172821271,135.4
ENSG00000130702,LAMA5,0.7541784037558686,63.9
ENSG00000196189,SEMA4A,0.7541735537190084,48.4
ENSG00000117461,PIK3R3,0.7540757238307348,44.9
ENSG00000144115,THNSL2,0.7540471869328492,55.1
ENSG00000138600,SPPL2A,0.7540243902439024,131.2
ENSG00000108700,CCL8,0.7539999999999999,17.0
ENSG00000174307,PHLDA3,0.753968253968254,144.9
ENSG00000134333,LDHA,0.7539614611656223,845.9
ENSG00000115657,ABCB6,0.7539097744360902,26.6
ENSG00000142634,EFHD2,0.7538686131386864,164.4
ENSG00000156709,AIFM1,0.7534805194805196,77.0
ENSG00000069849,ATP1B3,0.7534756573808905,384.1
ENSG00000145147,SLIT2,0.7534375000000001,32.0
ENSG00000165806,CASP7,0.7534375,70.4
ENSG00000135736,CCDC102A,0.7533333333333333,15.3
ENSG00000188566,NDOR1,0.7532894736842104,15.2
ENSG00000178927,CYBC1,0.7532675044883304,111.4
ENSG00000271447,MMP28,0.7532653061224489,29.4
ENSG00000090581,GNPTG,0.7532252027448534,160.3
ENSG00000152223,EPG5,0.753134328358209,13.4
ENSG00000142002,DPP9,0.753093093093093,66.6
ENSG00000174292,TNK1,0.7530693069306931,10.1
ENSG00000187800,PEAR1,0.7530232558139534,17.2
ENSG00000196550,FAM72A,0.7530097087378642,10.3
ENSG00000106244,PDAP1,0.7529603255340794,98.3
ENSG00000116132,PRRX1,0.7529472595656671,96.7
ENSG00000154640,BTG3,0.7529298751200767,104.1
ENSG00000152558,TMEM123,0.7527826086956521,368.0
ENSG00000100804,PSMB5,0.7527595200834638,383.4
ENSG00000125434,SLC25A35,0.7527572016460904,24.3
ENSG00000131018,SYNE1,0.7527249842668344,158.9
ENSG00000146267,FAXC,0.7527188940092165,21.7
ENSG00000162407,PLPP3,0.7527041978522615,307.3
ENSG00000237441,RGL2,0.7526999999999999,40.0
ENSG00000113273,ARSB,0.7526633165829145,19.9
ENSG00000185808,PIGP,0.7526035502958579,101.4
ENSG00000151835,SACS,0.7525874125874126,14.3
ENSG00000167065,DUSP18,0.7525190839694657,13.1
ENSG00000117262,GPR89A,0.7525085910652922,29.1
ENSG00000136682,ZNG1B,0.7524528301886793,21.2
ENSG00000179021,C3orf38,0.7523929471032748,39.7
ENSG00000042088,TDP1,0.7523484848484848,26.4
ENSG00000121281,ADCY7,0.7523297491039426,27.9
ENSG00000007866,TEAD3,0.7523156532988357,77.3
ENSG00000120885,CLU,0.7522661013039227,9103.3
ENSG00000197818,SLC9A8,0.7522513089005236,19.1
ENSG00000262814,MRPL12,0.752203055692459,202.9
ENSG00000130827,PLXNA3,0.7521848739495799,23.8
ENSG00000100979,PLTP,0.7521700879765396,409.2
ENSG00000168404,MLKL,0.7521590909090909,35.2
ENSG00000077454,LRCH4,0.7520751341681574,111.8
ENSG00000213064,SFT2D2,0.7519736842105261,30.4
ENSG00000127527,EPS15L1,0.7519428571428571,70.0
ENSG00000180198,RCC1,0.751863799283154,55.8
ENSG00000151743,AMN1,0.7517580340264649,52.9
ENSG00000123066,MED13L,0.7516867469879516,49.8
ENSG00000145990,GFOD1,0.7515695067264572,22.3
ENSG00000153904,DDAH1,0.7515265866209262,116.6
ENSG00000115677,HDLBP,0.7514862965565706,569.2
ENSG00000100605,ITPK1,0.7514855643044618,190.5
ENSG00000118046,STK11,0.7514473684210526,106.4
ENSG00000173744,AGFG1,0.7513818924438392,146.9
ENSG00000173083,HPSE,0.7513461538461539,10.4
ENSG00000075539,FRYL,0.7513333333333334,30.0
ENSG00000197982,C1orf122,0.751311475409836,170.8
ENSG00000049130,KITLG,0.7512751677852348,29.8
ENSG00000123609,NMI,0.7512215909090909,70.4
ENSG00000137073,UBAP2,0.751156462585034,29.4
ENSG00000081913,PHLPP1,0.751132075471698,31.8
ENSG00000108819,PPP1R9B,0.7510924369747899,107.1
ENSG00000174516,PELI3,0.7509660574412531,38.3
ENSG00000136856,SLC2A8,0.7509006211180125,64.4
ENSG00000128487,SPECC1,0.7508624708624708,42.9
ENSG00000004399,PLXND1,0.7508538899430741,105.4
ENSG00000049246,PER3,0.750844793713163,50.9
ENSG00000183576,SETD3,0.7508041743400861,162.9
ENSG00000139597,N4BP2L1,0.7507881773399014,81.2
ENSG00000166908,PIP4K2C,0.7507652399481194,77.1
ENSG00000151332,MBIP,0.750718954248366,76.5
ENSG00000136859,ANGPTL2,0.7506781279847182,104.7
ENSG00000172889,EGFL7,0.7506699547883272,243.3
ENSG00000168916,ZNF608,0.7505940594059407,20.2
ENSG00000105329,TGFB1,0.750558882235529,100.2
ENSG00000111445,RFC5,0.7505501618122976,30.9
ENSG00000174749,FAM241A,0.7505128205128205,15.6
ENSG00000173480,ZNF417,0.7504555314533623,46.1
ENSG00000169919,GUSB,0.7504526748971193,97.2
ENSG00000126215,XRCC3,0.7504347826086958,36.8
ENSG00000009780,FAM76A,0.750395778364116,37.9
ENSG00000120656,TAF12,0.7503748488512696,82.7
ENSG00000105137,SYDE1,0.7503209876543211,40.5
ENSG00000103642,LACTB,0.7503153988868274,53.9
ENSG00000132522,GPS2,0.7502764976958527,173.6
ENSG00000169087,HSPBAP1,0.7502631578947369,15.2
ENSG00000170873,MTSS1,0.750234604105572,68.2
ENSG00000164919,COX6C,0.7501733626857456,726.8
ENSG00000204228,HSD17B8,0.7500952380952381,63.0
ENSG00000196263,ZNF471,0.7500769230769231,26.0
ENSG00000170266,GLB1,0.750040899795501,97.8
ENSG00000170382,LRRN2,0.7499999999999999,20.2
ENSG00000176340,COX8A,0.7499762304250561,1430.4
ENSG00000066056,TIE1,0.7498905908096279,45.7
ENSG00000177054,ZDHHC13,0.7498591549295774,35.5
ENSG00000134245,WNT2B,0.7498461538461539,13.0
ENSG00000100393,EP300,0.7497879282218595,61.3
ENSG00000125967,NECAB3,0.7497560975609758,57.4
ENSG00000089916,GPATCH2L,0.7497175141242939,35.4
ENSG00000221968,FADS3,0.7496520963425514,112.1
ENSG00000166681,BEX3,0.749574545016271,829.7
ENSG00000170270,GON7,0.7495698924731182,37.2
ENSG00000137726,FXYD6,0.7495271372000931,429.3
ENSG00000084764,MAPRE3,0.7495155279503107,161.0
ENSG00000105373,NOP53,0.7494922259397757,1016.2
ENSG00000089818,NECAP1,0.7494899536321483,64.7
ENSG00000125968,ID1,0.7494803481930888,379.1
ENSG00000153902,LGI4,0.7494778325123151,101.5
ENSG00000119408,NEK6,0.7494245723172631,64.3
ENSG00000111906,HDDC2,0.7493742017879949,156.6
ENSG00000188092,GPR89B,0.7493103448275862,11.6
ENSG00000067900,ROCK1,0.7493023255813953,17.2
ENSG00000106144,CASP2,0.7492348284960422,37.9
ENSG00000114346,ECT2,0.7492165898617512,21.7
ENSG00000129354,AP1M2,0.7491634491634492,77.7
ENSG00000137449,CPEB2,0.7490960451977401,35.4
ENSG00000127445,PIN1,0.7490639625585023,256.4
ENSG00000105750,ZNF85,0.7490384615384614,10.4
ENSG00000244405,ETV5,0.7490322580645161,40.3
ENSG00000106400,ZNHIT1,0.7490320665083136,336.8
ENSG00000008513,ST3GAL1,0.7490189873417722,63.2
ENSG00000111775,COX6A1,0.748958401572224,1831.8
ENSG00000177548,RABEP2,0.7489430894308943,49.2
ENSG00000081087,OSTM1,0.7489400921658985,21.7
ENSG00000071575,TRIB2,0.7489395129615082,127.3
ENSG00000130159,ECSIT,0.7489177489177489,115.5
ENSG00000172301,COPRS,0.7488779688779686,244.2
ENSG00000108639,SYNGR2,0.7488609813084112,342.4
ENSG00000204348,DXO,0.748695652173913,32.2
ENSG00000173692,PSMD1,0.7486540049545828,121.1
ENSG00000109445,ZNF330,0.7486170212765957,94.0
ENSG00000129465,RIPK3,0.7485714285714284,18.9
ENSG00000164181,ELOVL7,0.7484905660377358,31.8
ENSG00000130821,SLC6A8,0.7484030157642221,145.9
ENSG00000117682,DHDDS,0.7484000000000001,75.0
ENSG00000197937,ZNF347,0.7483832335329342,16.7
ENSG00000074935,TUBE1,0.7483733333333332,37.5
ENSG00000114779,ABHD14B,0.7483528037383178,171.2
ENSG00000155760,FZD7,0.7483030303030302,33.0
ENSG00000143815,LBR,0.7482807731434384,98.3
ENSG00000107863,ARHGAP21,0.7482730923694778,74.7
ENSG00000138685,FGF2,0.7482456140350877,22.8
ENSG00000130158,DOCK6,0.7482086167800454,44.1
ENSG00000156787,TBC1D31,0.7480597014925372,13.4
ENSG00000132207,SLX1A,0.7480528846153847,83.2
ENSG00000165997,ARL5B,0.7480286738351256,27.9
ENSG00000152484,USP12,0.7479663394109396,71.3
ENSG00000067113,PLPP1,0.747897396035756,257.3
ENSG00000145632,PLK2,0.7478708133971291,83.6
ENSG00000090674,MCOLN1,0.7478632478632479,46.8
ENSG00000178980,SELENOW,0.7478536135092577,1841.7
ENSG00000175414,ARL10,0.7478195488721806,13.3
ENSG00000198064,NPIPB13,0.7478172588832487,39.4
ENSG00000133138,TBC1D8B,0.74775956284153,18.3
ENSG00000198833,UBE2J1,0.7476731793960921,112.6
ENSG00000135924,DNAJB2,0.7476544943820226,284.8
ENSG00000152926,ZNF117,0.7476226415094338,26.5
ENSG00000167460,TPM4,0.7475908221797325,523.0
ENSG00000145592,RPL37,0.7475533269659346,1256.4
ENSG00000184349,EFNA5,0.7474999999999998,12.0
ENSG00000224470,ATXN1L,0.7473994638069705,37.3
ENSG00000198873,GRK5,0.7473722627737226,27.4
ENSG00000149485,FADS1,0.7473629242819844,76.6
ENSG00000166974,MAPRE2,0.7473547400611621,130.8
ENSG00000139132,FGD4,0.74731884057971,27.6
ENSG00000163781,TOPBP1,0.7473076923076922,31.2
ENSG00000138709,LARP1B,0.7472885032537961,46.1
ENSG00000172059,KLF11,0.7471232876712329,51.1
ENSG00000198879,SFMBT2,0.7470886075949368,15.8
ENSG00000176182,MYPOP,0.7470877192982457,28.5
ENSG00000110080,ST3GAL4,0.7470491803278686,109.8
ENSG00000096080,MRPS18A,0.7469999999999999,134.0
ENSG00000148288,GBGT1,0.7469999999999999,24.0
ENSG00000141458,NPC1,0.746988847583643,80.7
ENSG00000144642,RBMS3,0.7469651741293533,20.1
ENSG00000096968,JAK2,0.7469135802469137,32.4
ENSG00000278845,MRPL45,0.7468606431852988,65.3
ENSG00000105928,GSDME,0.7468159203980099,40.2
ENSG00000006625,GGCT,0.7467472306143,99.3
ENSG00000181523,SGSH,0.7467264573991033,44.6
ENSG00000184060,ADAP2,0.7466981132075472,21.2
ENSG00000177156,TALDO1,0.7466818700114025,438.5
ENSG00000118432,CNR1,0.7466666666666667,18.6
ENSG00000144674,GOLGA4,0.7466485507246376,110.4
ENSG00000081377,CDC14B,0.7466101694915256,11.8
ENSG00000176428,VPS37D,0.7465599999999998,12.5
ENSG00000197417,SHPK,0.7464888888888886,22.5
ENSG00000126602,TRAP1,0.7464246424642466,181.8
ENSG00000266412,NCOA4,0.7464084911072862,348.6
ENSG00000071205,ARHGAP10,0.7464,62.5
ENSG00000136156,ITM2B,0.74639934399344,1219.5
ENSG00000151466,SCLT1,0.7463235294117648,13.6
ENSG00000163624,CDS1,0.7462433862433864,37.8
ENSG00000133789,SWAP70,0.7461560283687944,70.5
ENSG00000181751,MACIR,0.7461486486486487,29.6
ENSG00000105220,GPI,0.7461483375959078,391.0
ENSG00000159086,PAXBP1,0.7461481481481479,27.0
ENSG00000019549,SNAI2,0.7461160714285714,44.8
ENSG00000084090,STARD7,0.7460094886663151,189.7
ENSG00000137218,FRS3,0.7459712230215828,27.8
ENSG00000186716,BCR,0.7459706362153343,61.3
ENSG00000135677,GNS,0.7459475929311398,164.1
ENSG00000154783,FGD5,0.7459071729957806,23.7
ENSG00000134884,ARGLU1,0.7458892128279884,34.3
ENSG00000006025,OSBPL7,0.7457943925233645,32.1
ENSG00000151150,ANK3,0.7457731958762883,126.1
ENSG00000005243,COPZ2,0.7457531380753138,95.6
ENSG00000143641,GALNT2,0.745720430107527,93.0
ENSG00000133243,BTBD2,0.7456927899686521,159.5
ENSG00000162402,USP24,0.7456091954022988,43.5
ENSG00000168496,FEN1,0.7455944055944055,42.9
ENSG00000117640,MTFR1L,0.745586791610888,224.1
ENSG00000204394,VARS1,0.7455502392344496,62.7
ENSG00000180611,MB21D2,0.7454399999999999,12.5
ENSG00000179588,ZFPM1,0.7454263565891474,12.9
ENSG00000079332,SAR1A,0.7454191033138403,153.9
ENSG00000085063,CD59,0.7453946794592237,1375.8
ENSG00000064300,NGFR,0.7453937947494031,41.9
ENSG00000169564,PCBP1,0.745304716481187,754.8
ENSG00000116747,RO60,0.7452857142857142,28.0
ENSG00000173517,PEAK1,0.7452173913043479,27.6
ENSG00000073792,IGF2BP2,0.7452173913043479,20.7
ENSG00000185477,GPRIN3,0.745137614678899,10.9
ENSG00000076067,RBMS2,0.745086705202312,34.6
ENSG00000105854,PON2,0.7450653879686138,229.4
ENSG00000172037,LAMB2,0.7450505050505052,158.4
ENSG00000109685,NSD2,0.7450000000000003,55.6
ENSG00000130347,RTN4IP1,0.7449655172413793,14.5
ENSG00000138593,SECISBP2L,0.7449622166246853,79.4
ENSG00000167658,EEF2,0.7448260841297705,3076.2
ENSG00000139370,SLC15A4,0.7447513812154696,36.2
ENSG00000166265,CYYR1,0.7447488584474885,43.8
ENSG00000100246,DNAL4,0.7446801872074884,64.1
ENSG00000204673,AKT1S1,0.7446358792184724,112.6
ENSG00000063854,HAGH,0.7446014492753623,220.8
ENSG00000132313,MRPL35,0.744484389782403,105.7
ENSG00000171302,CANT1,0.7444736842105263,83.6
ENSG00000117448,AKR1A1,0.7444062189877606,302.3
ENSG00000166971,AKTIP,0.7443829113924051,126.4
ENSG00000117620,SLC35A3,0.7443564356435644,50.5
ENSG00000090971,NAT14,0.7442900302114804,66.2
ENSG00000141543,EIF4A3,0.7442507122507123,175.5
ENSG00000169239,CA5B,0.7442396313364056,21.7
ENSG00000014138,POLA2,0.7442384105960264,15.1
ENSG00000184979,USP18,0.7442056074766356,21.4
ENSG00000204370,SDHD,0.7440857142857144,420.0
ENSG00000135241,PNPLA8,0.7440613026819924,78.3
ENSG00000092820,EZR,0.744054182509506,420.8
ENSG00000257704,INAFM1,0.7440540540540542,103.6
ENSG00000119185,ITGB1BP1,0.7439962476547841,106.6
ENSG00000149564,ESAM,0.7439697542533079,105.8
ENSG00000105656,ELL,0.743965517241379,34.8
ENSG00000151240,DIP2C,0.7439628482972135,32.3
ENSG00000128284,APOL3,0.7439562841530054,91.5
ENSG00000256683,ZNF350,0.743953488372093,25.8
ENSG00000085514,PILRA,0.7439118457300276,36.3
ENSG00000101493,ZNF516,0.7438629283489097,32.1
ENSG00000080819,CPOX,0.7438461538461538,41.6
ENSG00000188760,TMEM198,0.7438150289017342,17.3
ENSG00000175634,RPS6KB2,0.7438058748403578,78.3
ENSG00000140650,PMM2,0.7437944664031622,50.6
ENSG00000107104,KANK1,0.7437918215613384,80.7
ENSG00000168077,SCARA3,0.7437752808988765,89.0
ENSG00000183283,DAZAP2,0.743765762653308,578.9
ENSG00000108559,NUP88,0.7437552742616031,47.4
ENSG00000110077,MS4A6A,0.7437359339834958,133.3
ENSG00000256514,ENSG00000256514,0.7436924868957484,171.7
ENSG00000106012,IQCE,0.7436708860759493,31.6
ENSG00000115525,ST3GAL5,0.7436601307189542,45.9
ENSG00000165879,FRAT1,0.7436363636363637,12.1
ENSG00000185158,LRRC37B,0.7436,20.0
ENSG00000065615,CYB5R4,0.7435,16.0
ENSG00000173706,HEG1,0.7434851485148515,50.5
ENSG00000254772,EEF1G,0.7434046235080087,4507.4
ENSG00000185052,SLC24A3,0.7433942558746738,38.3
ENSG00000105072,C19orf44,0.7433112582781457,15.1
ENSG00000049656,CLPTM1L,0.7432915360501566,127.6
ENSG00000260643,ENSG00000260643,0.7432460732984293,19.1
ENSG00000114107,CEP70,0.7431987577639751,64.4
ENSG00000088812,ATRN,0.7431686541737649,58.7
ENSG00000143612,C1orf43,0.7431644722160233,448.1
ENSG00000135912,TTLL4,0.7430252100840338,23.8
ENSG00000123545,NDUFAF4,0.7429655172413794,29.0
ENSG00000101365,IDH3B,0.7429387755102042,220.5
ENSG00000148450,MSRB2,0.7429228243021347,60.9
ENSG00000213462,ERV3-1,0.7429206349206348,31.5
ENSG00000169116,PARM1,0.742901554404145,115.8
ENSG00000253276,CCDC71L,0.7428888888888888,18.0
ENSG00000198113,TOR4A,0.7427397260273971,14.6
ENSG00000143797,MBOAT2,0.742690909090909,27.5
ENSG00000115902,SLC1A4,0.7425609756097562,49.2
ENSG00000181915,ADO,0.7425000000000002,35.2
ENSG00000196937,FAM3C,0.7424849939975993,166.6
ENSG00000129932,DOHH,0.7424806201550388,38.7
ENSG00000018189,RUFY3,0.7424057450628366,111.4
ENSG00000163681,SLMAP,0.7424007936507935,100.8
ENSG00000166333,ILK,0.7423566569484937,411.6
ENSG00000112242,E2F3,0.7423529411764705,18.7
ENSG00000186815,TPCN1,0.7423364485981306,107.0
ENSG00000158427,TMSB15B,0.7423225806451613,15.5
ENSG00000177889,UBE2N,0.7423025583982203,179.8
ENSG00000167700,MFSD3,0.7421768707482994,44.1
ENSG00000010278,CD9,0.7421175902450804,828.3
ENSG00000182512,GLRX5,0.7420897155361051,182.8
ENSG00000235098,ANKRD65,0.7420671834625324,38.7
ENSG00000143951,WDPCP,0.7419999999999999,11.0
ENSG00000105429,MEGF8,0.7418045112781955,39.9
ENSG00000215472,RPL17-C18orf32,0.7417468019408912,226.7
ENSG00000123427,EEF1AKMT3,0.7416425120772946,20.7
ENSG00000103174,NAGPA,0.7414977973568281,22.7
ENSG00000065308,TRAM2,0.7414880952380952,33.6
ENSG00000166562,SEC11C,0.7414557131388814,373.7
ENSG00000173269,MMRN2,0.7414141414141414,69.3
ENSG00000114942,EEF1B2,0.7414105937535751,1748.2
ENSG00000100528,CNIH1,0.7414002763703362,217.1
ENSG00000113657,DPYSL3,0.7413779527559053,203.2
ENSG00000161921,CXCL16,0.7413688212927757,105.2
ENSG00000101294,HM13,0.7412888688598467,221.9
ENSG00000028203,VEZT,0.7412621359223303,20.6
ENSG00000144935,TRPC1,0.741237113402062,19.4
ENSG00000110092,CCND1,0.7412323943661973,113.6
ENSG00000204161,TMEM273,0.7411816192560174,45.7
ENSG00000032219,ARID4A,0.7411585365853658,32.8
ENSG00000204256,BRD2,0.7410975609756097,65.6
ENSG00000158292,GPR153,0.7410891089108911,20.2
ENSG00000173660,UQCRH,0.7410820149118021,1099.8
ENSG00000177556,ATOX1,0.7410655536459614,407.3
ENSG00000115310,RTN4,0.7410610932475883,933.0
ENSG00000184203,PPP1R2,0.7410211706102118,80.3
ENSG00000168890,TMEM150A,0.7409053497942388,48.6
ENSG00000105341,DMAC2,0.7408413001912045,104.6
ENSG00000124733,MEA1,0.7408329755259768,232.9
ENSG00000008853,RHOBTB2,0.7408253968253967,31.5
ENSG00000228300,FAM174C,0.74082059533387,124.3
ENSG00000151623,NR3C2,0.7408130081300812,24.6
ENSG00000134107,BHLHE40,0.7408002148227711,372.4
ENSG00000146242,TPBG,0.7408,32.5
ENSG00000101888,NXT2,0.7407751937984497,25.8
ENSG00000205213,LGR4,0.740746003552398,56.3
ENSG00000020426,MNAT1,0.7407133421400265,75.7
ENSG00000187678,SPRY4,0.7406206896551724,29.0
ENSG00000131724,IL13RA1,0.7405688888888889,112.5
ENSG00000170854,RIOX2,0.7405069124423964,43.4
ENSG00000135899,SP110,0.7404526748971194,48.6
